,county,irrig07,irrig12,irrHarv07,irrHarv12,cropland07,cropland12,pasture07,pasture12,irrig12_a,,irrigRatio12,Irrigated Crop Intensity
86,Arizona\Pinal,215121,223626,208284,221997,256042,302591,6837,1629,221997,221997,0.733653678,1
200,California\Sacramento,113427,85979,102160,77557,133628,105721,11267,8422,77557,77557,0.733600704,1
1826,New Mexico\Socorro,14815,18906,11049,15686,23815,21402,3766,3220,15686,15686,0.732922157,1
2812,Utah\Sanpete,70770,68864,50921,54828,98230,74853,19849,14036,54828,54828,0.732475652,1
1642,Montana\Silver Bow,8797,4590,6488,3213,15750,4388,2309,1377,3213,3213,0.732224248,1
1670,Nebraska\Clay,218108,191700,216574,189070,291501,259146,1534,2630,189070,189070,0.729588726,1
128,Arkansas\Lawrence,130983,130317,130983,130250,200765,179193,0,67,130250,130250,0.726869911,1
2955,Washington\Kittitas,82147,66908,52422,49654,69739,68314,29725,17254,49654,49654,0.726849548,1
223,California\Yolo,246341,229901,237811,223046,311307,306915,8530,6855,223046,223046,0.726735415,1
133,Arkansas\Lonoke,211362,199627,211128,199305,293183,274568,234,322,199305,199305,0.725885755,1
2235,Oregon\Lake,154122,148883,99247,95067,169436,131055,54875,53816,95067,95067,0.725397734,1
2816,Utah\Uintah,84529,68950,42529,45186,83168,62450,42000,23764,45186,45186,0.723554844,1
1615,Montana\Granite,31280,28520,20354,19707,35460,27391,10926,8813,19707,19707,0.719469899,1
1654,Nebraska\Antelope,261266,249735,259587,246721,369071,343927,1679,3014,246721,246721,0.717364441,1
265,Colorado\Mesa,64272,75305,41619,51160,131178,71399,22653,24145,51160,51160,0.716536646,1
83,Arizona\Mohave,17107,20814,15956,0,31232,29054,1151,0,20814,20814,0.71639017,0
1682,Nebraska\Fillmore,223522,210981,223124,210744,322967,296448,398,237,210744,210744,0.710897021,1
1724,Nebraska\Polk,164566,151016,163730,150788,228592,212173,836,228,150788,150788,0.710684206,1
2806,Utah\Millard,103272,115207,94587,107560,153728,151587,8685,7647,107560,107560,0.709559527,1
255,Colorado\Jackson,89603,59555,52096,46503,80270,65538,37507,13052,46503,46503,0.709557814,1
2808,Utah\Piute,16913,13885,10701,10568,19481,14953,6212,3317,10568,10568,0.70674781,1
1473,Mississippi\Washington,166432,220926,166432,220926,310190,312998,0,0,220926,220926,0.705838376,1
208,California\Santa Barbara,95091,96695,88559,93334,124965,132323,6532,3361,93334,93334,0.705349788,1
569,Idaho\Madison,128229,122275,123869,118041,176069,167384,4360,4234,118041,118041,0.705210773,1
3123,Wyoming\Sublette,141373,143134,82147,86235,117872,122565,59226,56899,86235,86235,0.703585852,1
2809,Utah\Rich,51752,65965,38138,54137,76535,77152,13614,11828,54137,54137,0.701692762,1
2799,Utah\Duchesne,101974,100909,46975,54749,93398,78172,54999,46160,54749,54749,0.70036586,1
3112,Wyoming\Fremont,164331,157073,117042,117602,170074,167985,47289,39471,117602,117602,0.700074411,1
1439,Mississippi\Leflore,144820,164126,144550,0,262986,235795,270,0,164126,164126,0.696053776,0
1662,Nebraska\Buffalo,269141,240799,266333,238249,371615,342337,2808,2550,238249,238249,0.695948729,1
272,Colorado\Ouray,10681,9823,7525,7000,10152,10068,3156,2823,7000,7000,0.695272149,1
1222,Massachusetts\Plymouth,11861,11994,11810,11949,18302,17268,51,45,11949,11949,0.691973593,1
202,California\San Bernardino,28977,21788,26614,20615,35898,29827,2363,1173,20615,20615,0.691152312,1
552,Idaho\Cassia,249848,237831,233008,230650,372773,333822,16840,7181,230650,230650,0.690937086,1
2940,Washington\Chelan,28230,22778,24925,21790,43503,31537,3305,988,21790,21790,0.690934458,1
210,California\Santa Cruz,19641,28897,18964,28389,23588,41094,677,508,28389,28389,0.690830778,1
346,Florida\Miami-Dade,38954,45236,38839,44615,53816,64904,115,621,44615,44615,0.687399852,1
1822,New Mexico\San Juan,78438,85890,70773,79350,107385,115578,7665,6540,79350,79350,0.686549343,1
327,Florida\Hardee,44141,36038,43329,35510,66298,51767,812,528,35510,35510,0.685958236,1
555,Idaho\Custer,55963,51571,31506,30464,46949,44421,24457,21107,30464,30464,0.68580176,1
2975,Washington\Yakima,267566,224386,238850,210313,344505,306851,28716,14073,210313,210313,0.685391281,1
1138,Louisiana\Morehouse,140448,141500,139088,0,221586,206749,1360,0,141500,141500,0.684404761,0
1403,Mississippi\Bolivar,228300,247777,228300,247520,389487,361995,0,257,247520,247520,0.68376635,1
556,Idaho\Elmore,97857,89940,81253,80075,120841,117855,16604,9865,80075,80075,0.679436596,1
330,Florida\Highlands,73713,61785,70386,56966,120464,84007,3327,4819,56966,56966,0.678110157,1
144,Arkansas\Phillips,245359,231860,0,0,424166,345619,0,0,231860,231860,0.670854322,0
218,California\Tehama,76081,84912,51546,59900,94214,89348,24535,25012,59900,59900,0.67041232,1
1464,Mississippi\Sunflower,187703,216718,0,0,330940,323844,0,0,216718,216718,0.669204926,0
1804,New Mexico\De Baca,11460,8070,6236,7470,16140,11171,5224,600,7470,7470,0.66869573,1
241,Colorado\Delta,66169,59232,40128,40556,67298,60717,26041,18676,40556,40556,0.667951315,1
343,Florida\Manatee,50791,50108,47283,46914,77299,70380,3508,3194,46914,46914,0.666581415,1
281,Colorado\Saguache,103292,90516,82126,76429,118229,115316,21166,14087,76429,76429,0.662778799,1
185,California\Los Angeles,29710,39653,25309,39424,49158,59556,4401,229,39424,39424,0.661965209,1
1492,Missouri\Butler,134006,123634,0,123196,214774,186202,0,438,123196,123196,0.661625546,1
418,Georgia\Dougherty,15225,12971,0,0,33055,19733,0,0,12971,12971,0.657325293,0
237,Colorado\Conejos,119126,100080,84416,73851,123022,112624,34710,26229,73851,73851,0.655730573,1
544,Idaho\Boise,1982,2390,1131,1965,4137,3017,851,425,1965,1965,0.651309248,1
252,Colorado\Gunnison,40729,42213,25313,26982,33829,41632,15416,15231,26982,26982,0.648107225,1
351,Florida\Orange,11870,9478,11590,8907,20737,13790,280,571,8907,8907,0.645902828,1
320,Florida\Flagler,6812,3936,6568,3513,8682,5455,244,423,3513,3513,0.643996334,1
191,California\Modoc,132731,128360,95139,99580,145784,154728,37592,28780,99580,99580,0.643580994,1
1782,New Jersey\Essex,21,18,0,18,43,28,0,0,18,18,0.642857143,1
129,Arkansas\Lee,174518,157999,0,157944,288419,245889,0,55,157944,157944,0.642338616,1
3125,Wyoming\Teton,18222,14684,9414,6762,18474,10545,8808,7922,6762,6762,0.641251778,1
203,California\San Diego,62213,45164,58264,43614,102502,68219,3949,1550,43614,43614,0.639323356,1
2229,Oregon\Harney,150803,165664,117169,141920,244159,222987,33634,23744,141920,141920,0.636449659,1
1607,Montana\Deer Lodge,19692,10760,10813,7107,19094,11203,8879,3653,7107,7107,0.634383647,1
174,California\Del Norte,7660,9229,2848,5455,7986,8609,4812,3774,5455,5455,0.633639215,1
251,Colorado\Grand,43130,27547,22808,22015,38831,34862,20322,5532,22015,22015,0.631489874,1
1596,Montana\Beaverhead,203539,238454,106074,112745,180456,178618,97465,125709,112745,112745,0.631207381,1
232,Colorado\Boulder,33871,30126,27135,24741,54425,39228,6736,5385,24741,24741,0.630697461,1
151,Arkansas\Randolph,67301,56920,0,56637,135019,89856,0,283,56637,56637,0.630308494,1
234,Colorado\Chaffee,15139,13534,10862,10014,21872,15890,4277,3520,10014,10014,0.630207678,1
358,Florida\St. Johns,14359,11650,14213,11608,19550,18473,146,42,11608,11608,0.62837655,1
328,Florida\Hendry,188817,193073,166780,164552,262419,262438,22037,28521,164552,164552,0.627012856,1
1699,Nebraska\Howard,104273,115436,103101,114353,157759,182496,1172,1083,114353,114353,0.626605515,1
199,California\Riverside,168051,145961,158437,142249,219943,227246,9614,3712,142249,142249,0.625969214,1
227,Colorado\Alamosa,94030,68623,66837,44675,91098,71475,27193,23948,44675,44675,0.625043722,1
496,Georgia\Seminole,45798,38939,45331,38703,71031,62041,467,236,38703,38703,0.623829403,1
2217,Oregon\Baker,120742,100898,60463,66873,115067,107531,60279,34025,66873,66873,0.621895081,1
137,Arkansas\Mississippi,269564,286923,0,286923,451917,462633,0,0,286923,286923,0.620195706,1
2233,Oregon\Josephine,8798,9000,5383,5167,17389,8365,3415,3833,5167,5167,0.617692767,1
1619,Montana\Lake,86526,80691,49204,49720,98787,80650,37322,30971,49720,49720,0.616491011,1
3109,Wyoming\Carbon,146547,165476,69029,77619,123490,126434,77518,87857,77619,77619,0.613909233,1
1740,Nebraska\Valley,99325,93080,98817,92481,147845,150695,508,599,92481,92481,0.613696539,1
87,Arizona\Santa Cruz,1714,1812,436,757,7956,1238,1278,1055,757,757,0.611470113,1
1411,Mississippi\Coahoma,130899,138021,130899,0,265566,226794,0,0,138021,138021,0.608574301,0
1824,New Mexico\Santa Fe,50025,8864,8152,7950,21514,13091,41873,914,7950,7950,0.607287449,1
90,Arkansas,4460682,4803902,4455478,4795969,8432221,7931111,5204,7933,4795969,4795969,0.604703301,1
3117,Wyoming\Lincoln,65298,72701,52884,59561,93900,98541,12414,13140,59561,59561,0.604428613,1
285,Colorado\Summit,10509,4217,3895,3513,7119,5816,6614,704,3513,3513,0.604023384,1
2231,Oregon\Jackson,56420,36549,26783,19577,56530,32765,29637,16972,19577,19577,0.597497329,1
1776,New Jersey\Atlantic,11702,11281,11641,11263,18616,18905,61,18,11263,11263,0.595768315,1
1300,Michigan\St. Joseph,102859,112442,102591,112130,181051,188221,268,312,112130,112130,0.595735864,1
3124,Wyoming\Sweetwater,30284,28424,23269,21356,46144,36024,7015,7068,21356,21356,0.592827004,1
1552,Missouri\New Madrid,198843,196541,198695,196541,373357,332498,148,0,196541,196541,0.591104307,1
1122,Louisiana\East Carroll,102258,125644,102104,125644,225236,214275,154,0,125644,125644,0.586367985,1
356,Florida\Polk,98404,79869,95980,73238,136281,125095,2424,6631,73238,73238,0.585459051,1
1515,Missouri\Dunklin,159471,155819,159150,155687,317069,266226,321,132,155687,155687,0.58479262,1
2800,Utah\Emery,41823,51743,19040,24301,58570,41591,22783,27442,24301,24301,0.584285062,1
238,Colorado\Costilla,63525,34330,41455,29085,59045,49896,22070,5245,29085,29085,0.582912458,1
1795,New Jersey\Union,36,32,36,32,65,55,0,0,32,32,0.581818182,1
2232,Oregon\Jefferson,48351,41055,42241,36478,97191,62864,6110,4577,36478,36478,0.580268516,1
338,Florida\Lee,14612,13585,14269,13199,21960,22816,343,386,13199,13199,0.578497546,1
2949,Washington\Grant,469790,428200,451713,415595,771805,720023,18077,12605,415595,415595,0.57719684,1
214,California\Solano,145988,130909,97638,97890,154937,169637,48350,33019,97890,97890,0.577055713,1
259,Colorado\Lake,2715,3571,182,459,6116,796,2533,3112,459,459,0.576633166,1
1689,Nebraska\Gosper,81402,98765,80363,98589,130355,171793,1039,176,98589,98589,0.573882521,1
472,Georgia\Mitchell,47675,67179,46383,0,126613,117354,1292,0,67179,67179,0.572447467,0
1583,Missouri\Stoddard,228568,226734,227781,226698,418278,396346,787,36,226698,226698,0.571969945,1
1691,Nebraska\Greeley,76393,88190,75780,87940,127554,154354,613,250,87940,87940,0.569729324,1
173,California\Contra Costa,27421,27272,22476,26476,35853,46531,4945,796,26476,26476,0.568997013,1
108,Arkansas\Crittenden,138102,173321,138102,173321,278751,306536,0,0,173321,173321,0.565418091,1
1658,Nebraska\Boone,173086,184700,171636,183038,282746,326916,1450,1662,183038,183038,0.559893061,1
2817,Utah\Utah,77457,75167,56762,61273,117766,109540,20695,13894,61273,61273,0.559366441,1
558,Idaho\Fremont,101849,124845,92522,115695,175719,207777,9327,9150,115695,115695,0.55682294,1
1624,Montana\Madison,104948,111891,76054,80622,152196,144938,28894,31269,80622,80622,0.556251639,1
2223,Oregon\Crook,73242,61941,39821,31651,79018,56950,33421,30290,31651,31651,0.555768218,1
1734,Nebraska\Sherman,72256,71109,71878,70878,125561,127686,378,231,70878,70878,0.555096095,1
3126,Wyoming\Uinta,104813,70144,52736,38098,70210,68719,52077,32046,38098,38098,0.554402712,1
2640,Texas\Hartley,171717,155479,167182,149707,345221,270286,4535,5772,149707,149707,0.553883664,1
1758,Nevada\Nye,21510,20017,13613,14581,28080,26354,7897,5436,14581,14581,0.553274645,1
1750,Nevada\Elko,182233,132213,119747,94241,190934,170419,62486,37972,94241,94241,0.552995851,1
1814,New Mexico\Luna,23221,20558,21503,0,42794,37210,1718,0,20558,20558,0.552485891,0
2802,Utah\Grand,4712,4165,3626,3477,7956,6300,1086,688,3477,3477,0.551904762,1
1723,Nebraska\Platte,208388,194037,207561,193933,355259,351509,827,104,193933,193933,0.551715603,1
1708,Nebraska\Lincoln,322916,239819,318385,237519,527021,432296,4531,2300,237519,237519,0.549436035,1
271,Colorado\Otero,55217,43552,47922,40573,92911,74307,7295,2979,40573,40573,0.546018545,1
1810,New Mexico\Hidalgo,11917,9640,8658,7045,32195,12933,3259,2595,7045,7045,0.544730534,1
467,Georgia\Macon,16905,29335,16067,0,53960,53894,838,0,29335,29335,0.5443092,0
1667,Nebraska\Chase,185274,159692,181062,158150,309580,290647,4212,1542,158150,158150,0.544130853,1
1761,Nevada\Washoe,18659,15397,9266,7472,18973,13737,9393,7925,7472,7472,0.543932445,1
1125,Louisiana\Franklin,93958,88803,91537,87617,232437,162416,2421,1186,87617,87617,0.539460398,1
403,Georgia\Clinch,1819,2922,1760,2899,6021,5397,59,23,2899,2899,0.537150269,1
1673,Nebraska\Custer,333441,261502,328191,259883,574106,484929,5250,1619,259883,259883,0.535919691,1
245,Colorado\Eagle,11128,12743,6451,7983,12331,14914,4677,4760,7983,7983,0.535268875,1
352,Florida\Osceola,31420,29153,0,15877,44457,29700,0,13276,15877,15877,0.534579125,1
1825,New Mexico\Sierra,6701,12416,5004,10358,0,19429,1697,2058,10358,10358,0.533120593,1
1779,New Jersey\Camden,2647,2520,2632,2514,5033,4723,15,6,2514,2514,0.532288799,1
1737,Nebraska\Thayer,131413,135509,130832,135121,266148,253995,581,388,135121,135121,0.531982913,1
213,California\Siskiyou,144112,160033,90488,103638,164392,194828,53624,56395,103638,103638,0.531946127,1
196,California\Orange,8955,8054,0,0,14623,15183,0,0,8054,8054,0.530461701,0
215,California\Sonoma,78265,74969,74628,69207,134418,130632,3637,5762,69207,69207,0.529785964,1
579,Idaho\Valley,22136,26217,2871,4626,11443,8752,19265,21591,4626,4626,0.528564899,1
357,Florida\Putnam,4620,5487,4336,5457,12016,10329,284,30,5457,5457,0.528318327,1
3122,Wyoming\Sheridan,56325,49769,45927,39317,91424,74600,10398,10452,39317,39317,0.527037534,1
536,Idaho,3299889,3365292,2867218,3044510,5918899,5793347,432671,320782,3044510,3044510,0.525518323,1
1780,New Jersey\Cape May,2342,2242,2318,2228,4338,4250,24,14,2228,2228,0.524235294,1
3118,Wyoming\Natrona,40325,28921,28649,22606,49561,43318,11676,6315,22606,22606,0.521861582,1
1469,Mississippi\Tunica,73789,101397,73789,101397,186291,194519,0,0,101397,101397,0.521270416,1
2814,Utah\Summit,23960,20775,14366,13138,30662,25204,9594,7637,13138,13138,0.521266466,1
308,Florida\Brevard,20486,13414,10439,10059,22115,19337,10047,3355,10059,10059,0.520194446,1
2792,Utah,1134144,1104257,787205,853875,1837904,1645898,346939,250382,853875,853875,0.518789743,1
1627,Montana\Missoula,16555,16798,12168,10249,27911,19948,4387,6549,10249,10249,0.513785843,1
1683,Nebraska\Franklin,87295,85752,86517,85416,165034,166249,778,336,85416,85416,0.513783542,1
471,Georgia\Miller,37704,31721,36476,31311,65764,60969,1228,410,31311,31311,0.513556069,1
1424,Mississippi\Humphreys,63331,82735,63331,0,145415,161370,0,0,82735,82735,0.512703724,0
2568,Texas\Cameron,101093,112254,94984,107017,226132,209234,6109,5237,107017,107017,0.511470411,1
1714,Nebraska\Morrill,144581,128633,130961,122575,266348,240452,13620,6058,122575,122575,0.509769102,1
76,Arizona\Cochise,67598,65483,58295,62599,141156,123311,9303,2884,62599,62599,0.507651386,1
2805,Utah\Kane,4315,3953,1645,2255,8691,4456,2670,1698,2255,2255,0.506059246,1
553,Idaho\Clark,32013,29249,29854,26525,45502,52456,2159,2724,26525,26525,0.505661888,1
2818,Utah\Wasatch,17420,12420,8966,8770,13472,17382,8454,3650,8770,8770,0.504544932,1
240,Colorado\Custer,18217,12342,12427,10237,26000,20320,5790,2105,10237,10237,0.50378937,1
3033,Wisconsin\Adams,37563,44297,37187,44099,79563,87541,376,198,44099,44099,0.503752527,1
375,Georgia\Baker,21999,30495,21754,0,51582,60575,245,0,30495,30495,0.503425506,0
2795,Utah\Cache,80236,76289,69534,68936,143716,137212,10702,7353,68936,68936,0.502405037,1
1883,New York\Suffolk,13614,11820,13466,11627,26342,23163,148,193,11627,11627,0.50196434,1
211,California\Shasta,48690,38234,18315,18324,40180,36855,30375,19910,18324,18324,0.497191697,1
1722,Nebraska\Pierce,128897,130027,127131,128997,247215,260567,1766,1030,128997,128997,0.49506269,1
1625,Montana\Meagher,40457,36075,36410,34443,113075,69587,4047,1632,34443,34443,0.49496314,1
2334,South Carolina\Beaufort,2430,3179,2129,0,7447,6434,301,0,3179,3179,0.494093876,0
229,Colorado\Archuleta,14542,24234,3761,6471,18925,13211,10781,17763,6471,6471,0.48981909,1
421,Georgia\Echols,3962,2343,0,2343,6797,4796,0,0,2343,2343,0.48853211,1
303,Florida,1552118,1493320,1424396,1333840,2953340,2744064,127722,159480,1333840,1333840,0.486081957,1
500,Georgia\Sumter,31879,44318,31300,43883,84749,90442,579,435,43883,43883,0.485205988,1
184,California\Lassen,69876,65960,37812,34270,82567,70870,32064,31690,34270,34270,0.483561451,1
1828,New Mexico\Torrance,29942,25015,23909,23106,81130,47866,6033,1909,23106,23106,0.482722601,1
1647,Montana\Treasure,20344,21907,19704,21272,36103,44154,640,635,21272,21272,0.481768356,1
2807,Utah\Morgan,13794,9023,9662,7615,23362,15849,4132,1408,7615,7615,0.480471954,1
1827,New Mexico\Taos,19411,14458,11563,11749,26184,24591,7848,2709,11749,11749,0.477776422,1
189,California\Mendocino,27120,25693,24323,23305,53838,49298,2797,2388,23305,23305,0.472737231,1
1715,Nebraska\Nance,69428,63316,69128,63015,138178,133660,300,301,63015,63015,0.471457429,1
577,Idaho\Teton,52613,56386,46050,40953,85149,87600,6563,15433,40953,40953,0.4675,1
212,California\Sierra,6955,9687,1569,1867,6236,4019,5386,7820,1867,1867,0.464543419,1
2708,Texas\Moore,105088,122366,100273,0,297735,263647,4815,0,122366,122366,0.464128171,0
546,Idaho\Bonneville,155991,133620,147145,129242,298578,278842,8846,4378,129242,129242,0.463495456,1
2234,Oregon\Klamath,226343,159854,116970,94656,168075,205166,109373,65198,94656,94656,0.461362994,1
1697,Nebraska\Holt,339080,280234,332969,276810,667581,600530,6111,3424,276810,276810,0.460942834,1
3082,Wisconsin\Portage,91718,92544,91639,92304,206817,201386,79,240,92304,92304,0.458343678,1
183,California\Lake,13551,13499,13066,13304,28997,29106,485,195,13304,13304,0.457087886,1
580,Idaho\Washington,43917,42733,34168,36096,88383,79516,9749,6637,36096,36096,0.453946376,1
249,Colorado\Garfield,43720,32291,28000,20892,50435,46185,15720,11399,20892,20892,0.452354661,1
336,Florida\Lafayette,7426,10658,6682,10103,17299,22340,744,555,10103,10103,0.452238138,1
268,Colorado\Montezuma,57087,62616,37581,44026,103916,97381,19506,18590,44026,44026,0.452100512,1
1681,Nebraska\Dundy,112676,94837,111203,94239,254230,208550,1473,598,94239,94239,0.451877248,1
1460,Mississippi\Sharkey,47625,61036,47625,61036,156240,135227,0,0,61036,61036,0.451359566,1
2947,Washington\Franklin,217238,207151,211331,203297,467865,452174,5907,3854,203297,203297,0.449599048,1
2608,Texas\El Paso,37788,24914,36963,23928,54101,53280,825,986,23928,23928,0.449099099,1
918,Kansas\Haskell,156478,116650,155610,116227,327599,258979,868,423,116227,116227,0.448789284,1
209,California\Santa Clara,22245,17756,18330,17208,33302,38350,3915,548,17208,17208,0.448709257,1
150,Arkansas\Pulaski,26878,21492,0,0,61928,47918,0,0,21492,21492,0.448516215,0
1617,Montana\Jefferson,26722,29215,17729,22516,54529,50322,8993,6699,22516,22516,0.447438496,1
1703,Nebraska\Keith,116106,115304,115304,113551,260184,253940,802,1753,113551,113551,0.447156809,1
487,Georgia\Pulaski,12696,19545,12636,19545,34044,43712,60,0,19545,19545,0.447131223,1
1146,Louisiana\Richland,77082,85146,73277,84664,203207,189464,3805,482,84664,84664,0.446860617,1
201,California\San Benito,30372,19202,29362,17193,55213,38532,1010,2009,17193,17193,0.446200561,1
261,Colorado\Larimer,63405,52520,56285,47441,119984,106397,7120,5079,47441,47441,0.445886632,1
3110,Wyoming\Converse,37810,31920,29695,27114,60939,60858,8115,4806,27114,27114,0.445528936,1
406,Georgia\Colquitt,44075,47456,43600,47322,114626,106646,475,134,47322,47322,0.443729723,1
3115,Wyoming\Johnson,40296,39953,26015,26507,45029,59805,14281,13446,26507,26507,0.443223811,1
1457,Mississippi\Quitman,49766,68736,49600,68736,176542,155813,166,0,68736,68736,0.441144192,1
1465,Mississippi\Tallahatchie,90602,112414,90602,0,236334,254845,0,0,112414,112414,0.44110734,0
1105,Louisiana\Acadia,72132,82854,69892,82491,185630,187129,2240,363,82491,82491,0.440824244,1
2593,Texas\Dallam,230935,175645,215689,170758,534237,388351,15246,4887,170758,170758,0.439700168,1
1732,Nebraska\Seward,127433,129932,126924,129330,272420,294273,509,602,129330,129330,0.439489861,1
1694,Nebraska\Harlan,107551,93336,106930,93005,224467,211804,621,331,93005,93005,0.439108799,1
362,Florida\Seminole,1829,1180,1074,1062,4461,2419,755,118,1062,1062,0.43902439,1
414,Georgia\Decatur,47946,54744,46648,53884,106518,123602,1298,860,53884,53884,0.435947638,1
2973,Washington\Whatcom,34987,35484,33398,34299,73705,78744,1589,1185,34299,34299,0.435576044,1
540,Idaho\Bear Lake,38741,54502,33106,48599,101510,112489,5635,5903,48599,48599,0.432033354,1
1748,Nevada\Clark,6511,3714,2729,1902,6220,4426,3782,1812,1902,1902,0.429733394,1
1620,Montana\Lewis and Clark,50257,47504,44901,39607,104528,92412,5356,7897,39607,39607,0.428591525,1
1558,Missouri\Pemiscot,121140,122716,0,122716,303961,287458,0,0,122716,122716,0.426900625,1
1423,Mississippi\Holmes,33340,51134,33340,51110,125206,119768,0,24,51110,51110,0.426741701,1
168,California\Alpine,0,239,0,0,490,563,0,0,239,239,0.424511545,0
1655,Nebraska\Arthur,8242,12401,0,12401,30999,29305,0,0,12401,12401,0.423170107,1
3105,Wyoming,1550723,1435710,1025182,1016745,2576017,2418931,525541,418965,1016745,1016745,0.420328236,1
169,California\Amador,10132,11321,5678,6719,15593,16022,4454,4602,6719,6719,0.419360879,1
88,Arizona\Yavapai,7907,7602,3659,4488,25255,10720,4248,3114,4488,4488,0.418656716,1
1712,Nebraska\Madison,107885,122039,106414,121745,257990,290980,1471,294,121745,121745,0.418396453,1
197,California\Placer,30247,20674,15168,14031,50334,33607,15079,6643,14031,14031,0.417502306,1
1811,New Mexico\Lea,39078,51581,32949,48752,128433,117044,6129,2829,48752,48752,0.416527118,1
1659,Nebraska\Box Butte,143021,141563,139451,140045,384396,337490,3570,1518,140045,140045,0.414960443,1
1735,Nebraska\Sioux,51498,39527,48446,38802,119572,93967,3052,725,38802,38802,0.4129322,1
3106,Wyoming\Albany,148819,94448,47401,49712,104894,120437,101418,44736,49712,49712,0.41276352,1
2819,Utah\Washington,13751,14781,7157,8316,42847,20211,6594,6465,8316,8316,0.411459106,1
508,Georgia\Tift,28825,20578,28371,20536,77274,50043,454,42,20536,20536,0.410367084,1
2632,Texas\Hale,243491,202238,234871,196146,462349,479748,8620,6092,196146,196146,0.408852147,1
2796,Utah\Carbon,14837,11128,7734,8550,22781,20919,7103,2578,8550,8550,0.408719346,1
278,Colorado\Rio Blanco,22992,25647,16188,17446,55197,42747,6804,8201,17446,17446,0.408122207,1
337,Florida\Lake,15013,15163,14450,14673,34681,36001,563,490,14673,14673,0.407572012,1
1744,Nebraska\Wheeler,44072,39363,42331,36954,113156,90905,1741,2409,36954,36954,0.406512293,1
972,Kansas\Stevens,167062,145209,165974,143855,402149,354277,1088,1354,143855,143855,0.406052326,1
533,Hawaii\Honolulu,8437,10776,0,8942,18896,22200,0,1834,8942,8942,0.402792793,1
3113,Wyoming\Goshen,111487,109171,95143,96624,286219,241491,16344,12547,96624,96624,0.40011429,1
557,Idaho\Franklin,49448,61169,44011,56292,131797,140805,5437,4877,56292,56292,0.399786939,1
513,Georgia\Turner,22175,19105,22095,18991,65755,47504,80,114,18991,18991,0.399776861,1
2810,Utah\Salt Lake,9872,6830,5661,5401,29127,13534,4211,1429,5401,5401,0.399069011,1
314,Florida\Collier,31361,26412,31087,26311,69862,66948,274,101,26311,26311,0.393006513,1
175,California\El Dorado,9892,6811,4614,4351,15275,11130,5278,2460,4351,4351,0.390925427,1
383,Georgia\Bleckley,17543,13002,17431,0,57014,33293,112,0,13002,13002,0.390532544,0
1106,Louisiana\Allen,11620,18399,11593,0,48402,47156,27,0,18399,18399,0.390173043,0
198,California\Plumas,20229,19142,6717,10105,18487,25970,13512,9037,10105,10105,0.389102811,1
171,California\Calaveras,4888,4523,2061,2356,12097,6059,2827,2167,2356,2356,0.388843043,1
447,Georgia\Houston,4479,8985,4370,0,20327,23113,109,0,8985,8985,0.388742266,0
1600,Montana\Carbon,73796,72781,52033,53062,138125,136674,21763,19719,53062,53062,0.388237704,1
248,Colorado\Fremont,11845,8449,9220,6861,25569,17683,2625,1588,6861,6861,0.387999774,1
1781,New Jersey\Cumberland,18357,19320,18197,19281,52330,49699,160,39,19281,19281,0.387955492,1
1239,Michigan\Cass,38985,57619,38925,57365,151852,147980,60,254,57365,57365,0.387653737,1
1679,Nebraska\Dodge,116051,117968,115903,117844,305051,304968,148,124,117844,117844,0.386414312,1
2944,Washington\Cowlitz,2980,7556,2627,7199,10933,18633,353,357,7199,7199,0.386357538,1
1166,Louisiana\West Carroll,36167,45232,35553,44694,113715,115890,614,538,44694,44694,0.385658814,1
1124,Louisiana\Evangeline,37208,40070,36281,0,105822,103929,927,0,40070,40070,0.385551675,0
644,Illinois\Mason,100521,102317,100490,0,251297,265513,31,0,102317,102317,0.385355896,0
302,Delaware\Sussex,72785,90809,72349,90591,234324,235681,436,218,90591,90591,0.384379734,1
2240,Oregon\Marion,96382,84916,92817,82096,225094,213788,3565,2820,82096,82096,0.384006586,1
2247,Oregon\Union,63266,49049,52566,45457,141400,119224,10700,3592,45457,45457,0.381273905,1
2620,Texas\Gaines,242624,226992,236195,217472,641654,570552,6429,9520,217472,217472,0.381160701,1
1652,Nebraska,8558559,8296573,8448373,8225973,21486025,21597393,110186,70600,8225973,8225973,0.380878053,1
1629,Montana\Park,51859,57112,38588,41818,110188,110059,13271,15294,41818,41818,0.37995984,1
3121,Wyoming\Platte,75712,72226,58781,56003,196159,147904,16931,16223,56003,56003,0.378644256,1
2941,Washington\Clallam,4500,4164,3164,3072,8750,8124,1336,1092,3072,3072,0.378138848,1
527,Georgia\Wilcox,21429,28416,20996,28416,58141,75190,433,0,28416,28416,0.377922596,1
2815,Utah\Tooele,24538,22958,9988,15180,23370,40184,14550,7778,15180,15180,0.377762293,1
1580,Missouri\Scott,67332,72400,67249,0,203017,192796,83,0,72400,72400,0.375526463,0
2652,Texas\Hudspeth,27346,18130,26127,0,106452,48285,1219,0,18130,18130,0.375478927,0
289,Colorado\Yuma,263820,232998,258083,227836,697792,607155,5737,5162,227836,227836,0.375251789,1
167,California\Alameda,9687,8893,8456,7635,30549,20347,1231,1258,7635,7635,0.375239593,1
122,Arkansas\Independence,30310,32697,0,32674,99622,87208,0,23,32674,32674,0.374667462,1
2645,Texas\Hidalgo,169322,183643,158902,174069,404321,465563,10420,9574,174069,174069,0.373889248,1
