"latitude","longitude","locationGroup"
"45.34375","-123.21875",3
"45.34375","-123.15625",3
"45.34375","-123.09375",3
"45.34375","-123.03125",3
"45.34375","-122.96875",3
"45.34375","-122.90625",3
"45.34375","-122.84375",3
"45.40625","-123.21875",3
"45.40625","-123.15625",3
"45.40625","-123.09375",3
"45.40625","-123.03125",3
"45.40625","-122.96875",3
"45.40625","-122.90625",3
"45.40625","-122.84375",3
"45.40625","-121.28125",3
"45.40625","-121.21875",3
"45.40625","-121.15625",3
"45.46875","-123.15625",3
"45.46875","-123.09375",3
"45.46875","-123.03125",3
"45.46875","-122.96875",3
"45.46875","-122.90625",3
"45.46875","-121.59375",3
"45.46875","-121.21875",3
"45.46875","-121.15625",3
"45.46875","-121.09375",3
"45.53125","-123.15625",3
"45.53125","-123.09375",3
"45.53125","-123.03125",3
"45.53125","-121.65625",3
"45.53125","-121.59375",1
"45.53125","-121.53125",3
"45.53125","-121.21875",3
"45.53125","-121.15625",3
"45.53125","-121.09375",3
"45.53125","-121.03125",3
"45.59375","-123.21875",3
"45.59375","-123.15625",3
"45.59375","-123.09375",3
"45.59375","-123.03125",3
"45.59375","-122.96875",3
"45.59375","-122.90625",3
"45.59375","-121.65625",1
"45.59375","-121.59375",3
"45.59375","-121.53125",1
"45.59375","-121.28125",3
"45.59375","-121.21875",3
"45.59375","-121.15625",3
"45.59375","-121.09375",3
"45.65625","-122.84375",3
"45.65625","-122.78125",3
"45.65625","-121.59375",1
"45.65625","-121.53125",1
"45.65625","-121.46875",1
"45.65625","-121.40625",3
"45.65625","-121.34375",3
"45.65625","-121.28125",3
"45.65625","-121.21875",3
"45.65625","-121.15625",1
"45.71875","-121.59375",3
"45.71875","-121.53125",3
"45.71875","-121.34375",3
"45.71875","-120.34375",2
"45.71875","-120.28125",3
"45.71875","-120.21875",2
"45.71875","-119.59375",3
"45.71875","-119.53125",3
"45.71875","-119.46875",3
"45.78125","-121.53125",3
"45.78125","-119.59375",3
"45.78125","-119.53125",3
"45.78125","-119.46875",3
"45.84375","-121.46875",3
"45.84375","-119.90625",2
"45.84375","-119.84375",2
"45.84375","-119.59375",3
"45.84375","-119.53125",3
"45.90625","-119.90625",3
"45.90625","-119.84375",3
"45.90625","-119.78125",3
"45.90625","-119.71875",3
"45.90625","-119.40625",2
"45.96875","-119.90625",2
"45.96875","-119.84375",3
"45.96875","-119.71875",3
"45.96875","-119.65625",3
"45.96875","-119.59375",2
"45.96875","-119.46875",2
"45.96875","-119.09375",2
"45.96875","-118.46875",3
"45.96875","-118.40625",3
"45.96875","-118.34375",3
"46.03125","-118.46875",3
"46.03125","-118.40625",3
"46.03125","-118.34375",3
"46.09375","-119.03125",3
"46.09375","-118.96875",2
"46.09375","-118.90625",2
"46.09375","-118.84375",2
"46.09375","-118.78125",2
"46.15625","-119.84375",3
"46.15625","-119.15625",3
"46.15625","-119.09375",2
"46.15625","-119.03125",2
"46.15625","-118.90625",2
"46.15625","-118.84375",3
"46.15625","-118.78125",3
"46.21875","-120.15625",2
"46.21875","-120.09375",3
"46.21875","-120.03125",3
"46.21875","-119.96875",2
"46.21875","-119.90625",2
"46.21875","-119.84375",2
"46.21875","-119.78125",2
"46.21875","-119.71875",2
"46.21875","-119.65625",3
"46.21875","-119.46875",2
"46.21875","-119.40625",2
"46.21875","-119.34375",2
"46.21875","-119.28125",2
"46.21875","-119.21875",3
"46.21875","-119.03125",2
"46.21875","-118.96875",2
"46.21875","-118.90625",2
"46.21875","-118.84375",2
"46.21875","-118.78125",3
"46.28125","-120.65625",1
"46.28125","-120.59375",1
"46.28125","-120.40625",3
"46.28125","-120.21875",3
"46.28125","-120.15625",3
"46.28125","-120.09375",3
"46.28125","-120.03125",3
"46.28125","-119.96875",2
"46.28125","-119.90625",2
"46.28125","-119.84375",2
"46.28125","-119.78125",2
"46.28125","-119.71875",2
"46.28125","-119.65625",2
"46.28125","-119.59375",2
"46.28125","-119.53125",2
"46.28125","-119.46875",2
"46.28125","-119.40625",2
"46.28125","-119.34375",2
"46.28125","-119.28125",3
"46.28125","-119.21875",3
"46.28125","-119.09375",2
"46.28125","-118.96875",2
"46.28125","-118.90625",2
"46.28125","-118.84375",2
"46.28125","-118.78125",3
"46.28125","-117.90625",1
"46.34375","-120.65625",2
"46.34375","-120.59375",2
"46.34375","-120.53125",2
"46.34375","-120.46875",2
"46.34375","-120.40625",3
"46.34375","-120.34375",3
"46.34375","-120.28125",3
"46.34375","-120.21875",3
"46.34375","-120.15625",2
"46.34375","-120.09375",2
"46.34375","-120.03125",2
"46.34375","-119.96875",2
"46.34375","-119.90625",2
"46.34375","-119.59375",2
"46.34375","-119.53125",2
"46.34375","-119.46875",3
"46.34375","-119.40625",3
"46.34375","-119.34375",3
"46.34375","-119.28125",3
"46.34375","-119.21875",2
"46.34375","-119.15625",2
"46.34375","-119.09375",2
"46.34375","-119.03125",3
"46.34375","-118.78125",2
"46.34375","-118.71875",2
"46.34375","-118.65625",2
"46.40625","-120.71875",3
"46.40625","-120.65625",3
"46.40625","-120.59375",3
"46.40625","-120.53125",2
"46.40625","-120.46875",2
"46.40625","-120.40625",2
"46.40625","-120.34375",2
"46.40625","-120.28125",2
"46.40625","-120.21875",2
"46.40625","-120.15625",2
"46.40625","-120.09375",2
"46.40625","-120.03125",2
"46.40625","-119.96875",2
"46.40625","-119.28125",3
"46.40625","-119.21875",2
"46.40625","-119.15625",2
"46.40625","-119.09375",3
"46.40625","-118.78125",2
"46.40625","-118.71875",2
"46.40625","-118.65625",2
"46.40625","-118.59375",2
"46.46875","-120.65625",1
"46.46875","-120.59375",2
"46.46875","-120.53125",2
"46.46875","-120.46875",2
"46.46875","-120.40625",2
"46.46875","-120.34375",2
"46.46875","-120.28125",2
"46.46875","-120.21875",1
"46.46875","-120.09375",1
"46.46875","-119.28125",3
"46.46875","-119.21875",2
"46.46875","-119.15625",2
"46.46875","-119.09375",3
"46.46875","-119.03125",3
"46.53125","-120.84375",1
"46.53125","-120.78125",1
"46.53125","-120.71875",1
"46.53125","-120.65625",1
"46.53125","-120.59375",1
"46.53125","-120.53125",2
"46.53125","-120.46875",2
"46.53125","-120.40625",2
"46.53125","-120.34375",2
"46.53125","-120.28125",1
"46.53125","-120.21875",3
"46.53125","-120.15625",1
"46.53125","-120.09375",1
"46.53125","-119.84375",2
"46.53125","-119.78125",2
"46.53125","-119.28125",3
"46.53125","-119.21875",2
"46.53125","-119.15625",2
"46.53125","-119.09375",2
"46.53125","-119.03125",3
"46.59375","-120.78125",1
"46.59375","-120.71875",1
"46.59375","-120.65625",1
"46.59375","-120.59375",2
"46.59375","-120.53125",3
"46.59375","-120.46875",3
"46.59375","-120.40625",2
"46.59375","-120.34375",1
"46.59375","-119.78125",2
"46.59375","-119.28125",2
"46.59375","-119.21875",2
"46.59375","-119.15625",2
"46.59375","-119.09375",2
"46.59375","-119.03125",2
"46.65625","-120.78125",1
"46.65625","-120.71875",1
"46.65625","-120.65625",1
"46.65625","-120.59375",1
"46.65625","-120.53125",2
"46.65625","-120.46875",3
"46.65625","-119.90625",2
"46.65625","-119.84375",2
"46.65625","-119.78125",2
"46.65625","-119.34375",3
"46.65625","-119.28125",2
"46.65625","-119.21875",2
"46.65625","-119.15625",2
"46.65625","-119.09375",3
"46.71875","-120.78125",1
"46.71875","-120.71875",1
"46.71875","-120.65625",1
"46.71875","-120.59375",1
"46.71875","-120.53125",1
"46.71875","-120.46875",1
"46.71875","-119.90625",2
"46.71875","-119.84375",2
"46.71875","-119.78125",2
"46.71875","-119.71875",2
"46.71875","-119.65625",2
"46.71875","-119.28125",2
"46.71875","-119.21875",2
"46.71875","-119.15625",2
"46.71875","-119.09375",2
"46.71875","-119.03125",2
"46.78125","-120.40625",1
"46.78125","-119.96875",2
"46.78125","-119.90625",2
"46.78125","-119.84375",1
"46.78125","-119.71875",2
"46.78125","-119.65625",2
"46.78125","-119.59375",2
"46.78125","-119.34375",2
"46.78125","-119.28125",2
"46.78125","-119.21875",2
"46.78125","-119.15625",3
"46.78125","-119.09375",3
"46.84375","-120.28125",3
"46.84375","-119.96875",2
"46.84375","-119.90625",2
"46.84375","-119.78125",2
"46.84375","-119.59375",3
"46.84375","-119.53125",3
"46.84375","-119.46875",3
"46.84375","-119.40625",2
"46.84375","-119.34375",3
"46.84375","-119.28125",3
"46.84375","-119.21875",3
"46.90625","-120.46875",1
"46.90625","-120.40625",1
"46.90625","-119.90625",3
"46.90625","-119.84375",2
"46.90625","-119.78125",2
"46.90625","-119.71875",3
"46.90625","-119.65625",2
"46.90625","-119.59375",2
"46.90625","-119.53125",2
"46.90625","-119.46875",2
"46.90625","-119.40625",2
"46.90625","-119.34375",2
"46.90625","-119.15625",3
"46.96875","-120.53125",3
"46.96875","-120.40625",3
"46.96875","-119.90625",1
"46.96875","-119.84375",1
"46.96875","-119.78125",1
"46.96875","-119.71875",1
"46.96875","-119.65625",1
"46.96875","-119.59375",2
"46.96875","-119.53125",2
"46.96875","-119.46875",2
"46.96875","-119.40625",2
"46.96875","-119.34375",2
"46.96875","-119.28125",3
"46.96875","-119.15625",3
"46.96875","-119.09375",3
"47.03125","-120.65625",3
"47.03125","-120.46875",3
"47.03125","-120.40625",3
"47.03125","-120.34375",3
"47.03125","-119.90625",1
"47.03125","-119.84375",1
"47.03125","-119.78125",3
"47.03125","-119.09375",3
"47.03125","-119.03125",3
"47.09375","-120.46875",3
"47.09375","-119.96875",1
"47.09375","-119.90625",3
"47.09375","-119.84375",3
"47.09375","-119.78125",3
"47.09375","-119.71875",3
"47.09375","-119.59375",3
"47.09375","-119.40625",3
"47.09375","-119.34375",3
"47.09375","-119.28125",3
"47.09375","-119.21875",3
"47.09375","-119.15625",3
"47.09375","-119.09375",3
"47.09375","-119.03125",3
"47.15625","-119.96875",2
"47.15625","-119.90625",1
"47.15625","-119.84375",1
"47.15625","-119.78125",3
"47.15625","-119.65625",1
"47.15625","-119.59375",1
"47.15625","-119.53125",1
"47.15625","-119.46875",3
"47.15625","-119.40625",3
"47.15625","-119.34375",3
"47.15625","-119.28125",3
"47.15625","-119.21875",3
"47.21875","-120.09375",1
"47.21875","-119.96875",1
"47.21875","-119.90625",1
"47.21875","-119.84375",3
"47.21875","-119.78125",3
"47.21875","-119.71875",3
"47.21875","-119.65625",3
"47.21875","-119.59375",3
"47.21875","-119.53125",3
"47.21875","-119.28125",3
"47.28125","-120.09375",1
"47.28125","-120.03125",3
"47.28125","-119.96875",1
"47.28125","-119.90625",1
"47.28125","-119.84375",1
"47.28125","-119.78125",1
"47.28125","-119.71875",1
"47.28125","-119.65625",1
"47.28125","-119.59375",1
"47.28125","-119.28125",3
"47.34375","-120.34375",3
"47.34375","-120.28125",1
"47.34375","-120.21875",1
"47.34375","-120.15625",3
"47.34375","-120.09375",1
"47.34375","-120.03125",1
"47.34375","-119.53125",1
"47.40625","-120.34375",3
"47.40625","-120.28125",1
"47.40625","-120.21875",1
"47.40625","-120.15625",1
"47.40625","-119.90625",3
"47.40625","-119.53125",1
"47.40625","-119.28125",3
"47.46875","-120.46875",1
"47.46875","-120.40625",1
"47.46875","-120.34375",1
"47.46875","-120.28125",1
"47.53125","-120.59375",3
"47.53125","-120.53125",1
"47.53125","-120.46875",1
"47.53125","-120.40625",3
"47.53125","-120.28125",1
"47.59375","-120.65625",3
"47.59375","-120.59375",3
"47.59375","-120.21875",1
"47.65625","-120.28125",1
"47.65625","-120.21875",1
"47.71875","-120.34375",3
"47.71875","-120.21875",1
"47.71875","-120.15625",1
"47.78125","-120.15625",1
"47.78125","-120.09375",1
"47.78125","-120.03125",1
"47.78125","-119.96875",1
"47.84375","-120.21875",1
"47.84375","-120.15625",3
"47.84375","-120.09375",1
"47.84375","-120.03125",1
"47.84375","-119.96875",1
"47.84375","-119.90625",1
"47.90625","-122.09375",3
"47.90625","-122.03125",3
"47.90625","-120.21875",1
"47.90625","-120.15625",1
"47.90625","-120.09375",1
"47.90625","-119.96875",1
"47.90625","-119.90625",1
"47.96875","-122.15625",3
"47.96875","-120.28125",3
"47.96875","-119.90625",1
"47.96875","-119.65625",1
"48.03125","-119.96875",1
"48.03125","-119.90625",1
"48.03125","-119.84375",1
"48.03125","-119.78125",1
"48.03125","-119.71875",1
"48.03125","-119.65625",1
"48.03125","-119.59375",1
"48.03125","-119.53125",1
"48.09375","-120.03125",1
"48.09375","-119.96875",1
"48.09375","-119.90625",1
"48.09375","-119.84375",1
"48.09375","-119.78125",1
"48.09375","-119.71875",1
"48.09375","-119.65625",1
"48.09375","-119.59375",3
"48.09375","-119.53125",1
"48.15625","-120.03125",3
"48.15625","-119.78125",1
"48.15625","-119.71875",1
"48.15625","-119.65625",1
"48.21875","-119.71875",1
"48.28125","-119.71875",1
"48.28125","-119.65625",1
"48.34375","-119.71875",3
"48.34375","-119.65625",1
"48.34375","-119.59375",1
"48.40625","-120.15625",3
"48.40625","-119.59375",1
"48.40625","-119.53125",1
"48.40625","-119.46875",3
"48.46875","-119.59375",3
"48.46875","-119.53125",1
"48.46875","-119.46875",1
"48.65625","-119.53125",3
"48.65625","-119.46875",1
"48.71875","-119.46875",1
"48.71875","-119.40625",1
"48.78125","-119.65625",3
"48.78125","-119.53125",1
"48.78125","-119.46875",1
"48.78125","-119.40625",1
"48.84375","-122.28125",3
"48.84375","-119.65625",3
"48.84375","-119.59375",3
"48.84375","-119.53125",1
"48.84375","-119.40625",1
"48.90625","-119.59375",1
"48.90625","-119.46875",1
"48.90625","-119.40625",1
"48.96875","-119.46875",1
"48.96875","-119.40625",1
