"Chill_season" "Year" "Month" "Day" "Daily_portions" "Cume_portions"
"chill_2005-2006" 2006 1 1 0 0
"chill_2005-2006" 2006 1 2 0.728693186071668 0.728693186071668
"chill_2005-2006" 2006 1 3 0.566387748176771 1.29508093424844
"chill_2005-2006" 2006 1 4 1.18047591281681 2.47555684706525
"chill_2005-2006" 2006 1 5 0.3798726264788 2.85542947354405
"chill_2005-2006" 2006 1 6 0.410971023285505 3.26640049682956
"chill_2005-2006" 2006 1 7 0.594063119374801 3.86046361620436
"chill_2005-2006" 2006 1 8 0.641630899806495 4.50209451601085
"chill_2005-2006" 2006 1 9 0.46922099069646 4.97131550670731
"chill_2005-2006" 2006 1 10 0.675528448606605 5.64684395531392
"chill_2005-2006" 2006 1 11 0.0283728438171983 5.67521679913112
"chill_2005-2006" 2006 1 12 0.00167142579708417 5.6768882249282
"chill_2005-2006" 2006 1 13 9.13984499173773e-07 5.6768891389127
"chill_2005-2006" 2006 1 14 1.28418028675714e-07 5.67688926733073
"chill_2005-2006" 2006 1 15 3.20013198702116e-08 5.67688929933205
"chill_2005-2006" 2006 1 16 4.4445543707133e-05 5.67693374487576
"chill_2005-2006" 2006 1 17 0.20134429440117 5.87827803927693
"chill_2005-2006" 2006 1 18 3.02388789489421 8.90216593417113
"chill_2005-2006" 2006 1 19 1.3189395158534 10.2211054500245
"chill_2005-2006" 2006 1 20 0.0479479662321168 10.2690534162566
"chill_2005-2006" 2006 1 21 1.09775361166081 11.3668070279175
"chill_2005-2006" 2006 1 22 1.01376338276778 12.3805704106852
"chill_2005-2006" 2006 1 23 1.00122606830468 13.3817964789899
"chill_2005-2006" 2006 1 24 0.138686101328381 13.5204825803183
"chill_2005-2006" 2006 1 25 0.811895582891442 14.3323781632097
"chill_2005-2006" 2006 1 26 0.55256632612584 14.8849444893356
"chill_2005-2006" 2006 1 27 0.965121005537655 15.8500654948732
"chill_2005-2006" 2006 1 28 0.539845039734213 16.3899105346074
"chill_2005-2006" 2006 1 29 1.02668780731547 17.4165983419229
"chill_2005-2006" 2006 1 30 0.324724853853271 17.7413231957762
"chill_2005-2006" 2006 1 31 0.851091789099733 18.5924149848759
"chill_2005-2006" 2006 2 1 1.161511125305 19.7539261101809
"chill_2005-2006" 2006 2 2 0.426711778855075 20.180637889036
"chill_2005-2006" 2006 2 3 0.773703626303114 20.9543415153391
"chill_2005-2006" 2006 2 4 0.672888326143262 21.6272298414824
"chill_2005-2006" 2006 2 5 0.4609440034046 22.088173844887
"chill_2005-2006" 2006 2 6 0.71328517686301 22.80145902175
"chill_2005-2006" 2006 2 7 0.75723448580648 23.5586935075565
"chill_2005-2006" 2006 2 8 1.28455979335695 24.8432533009134
"chill_2005-2006" 2006 2 9 0.0681026499736088 24.911355950887
"chill_2005-2006" 2006 2 10 1.43335923284261 26.3447151837296
"chill_2005-2006" 2006 2 11 0.165650737064717 26.5103659207943
"chill_2005-2006" 2006 2 12 1.26647816969739 27.7768440904917
"chill_2005-2006" 2006 2 13 0.0106812193822294 27.787525309874
"chill_2005-2006" 2006 2 14 0.872387001781272 28.6599123116552
"chill_2005-2006" 2006 2 15 0.457532567402632 29.1174448790579
"chill_2005-2006" 2006 2 16 1.36210121167459 30.4795460907325
"chill_2005-2006" 2006 2 17 0.0735073249046559 30.5530534156371
"chill_2005-2006" 2006 2 18 1.38743343605999 31.9404868516971
"chill_2005-2006" 2006 2 19 5.7438272081835e-06 31.9404925955243
"chill_2005-2006" 2006 2 20 0.834200731635358 32.7746933271597
"chill_2005-2006" 2006 2 21 0.992171081577327 33.766864408737
"chill_2005-2006" 2006 2 22 0.458251276875772 34.2251156856128
"chill_2005-2006" 2006 2 23 0.235907104383138 34.4610227899959
"chill_2005-2006" 2006 2 24 0.0706603670919706 34.5316831570879
"chill_2005-2006" 2006 2 25 0.996212488544458 35.5278956456323
"chill_2005-2006" 2006 2 26 0.584247448967931 36.1121430946003
"chill_2005-2006" 2006 2 27 1.20617127048867 37.3183143650889
"chill_2005-2006" 2006 2 28 0.00121631348181172 37.3195306785708
"chill_2005-2006" 2006 3 1 0.76213643283652 38.0816671114073
"chill_2005-2006" 2006 3 2 0.859206382051723 38.940873493459
"chill_2005-2006" 2006 3 3 0.761299771565415 39.7021732650244
"chill_2005-2006" 2006 3 4 1.01393281827379 40.7161060832982
"chill_2005-2006" 2006 3 5 1.00347625671738 41.7195823400156
"chill_2005-2006" 2006 3 6 0 41.7195823400156
"chill_2005-2006" 2006 3 7 0.844251922660161 42.5638342626757
"chill_2005-2006" 2006 3 8 0.947088978161605 43.5109232408373
"chill_2005-2006" 2006 3 9 1.0083244784568 44.5192477192941
"chill_2005-2006" 2006 3 10 0 44.5192477192941
"chill_2005-2006" 2006 3 11 0.720655216690144 45.2399029359843
"chill_2005-2006" 2006 3 12 0.519584938356502 45.7594878743408
"chill_2005-2006" 2006 3 13 1.14369615818571 46.9031840325265
"chill_2005-2006" 2006 3 14 1.00430399573993 47.9074880282664
"chill_2005-2006" 2006 3 15 1.0010409766979 48.9085290049643
"chill_2005-2006" 2006 3 16 0.012484271207171 48.9210132761715
"chill_2005-2006" 2006 3 17 0.798897935264395 49.7199112114359
"chill_2005-2006" 2006 3 18 0.946747921093969 50.6666591325299
"chill_2005-2006" 2006 3 19 0.788440906222936 51.4551000387528
"chill_2005-2006" 2006 3 20 0.731936712533172 52.187036751286
"chill_2005-2006" 2006 3 21 1.00301279790589 53.1900495491919
"chill_2005-2006" 2006 3 22 1.01225914276932 54.2023086919612
"chill_2005-2006" 2006 3 23 0 54.2023086919612
"chill_2005-2006" 2006 3 24 1.40453494956983 55.606843641531
"chill_2005-2006" 2006 3 25 0 55.606843641531
"chill_2005-2006" 2006 3 26 1.43850118216987 57.0453448237009
"chill_2005-2006" 2006 3 27 0 57.0453448237009
"chill_2005-2006" 2006 3 28 0.83888891891013 57.884233742611
"chill_2005-2006" 2006 3 29 0.655545650450414 58.5397793930614
"chill_2005-2006" 2006 3 30 1.27297731562987 59.8127567086913
"chill_2005-2006" 2006 3 31 0.71609280958666 60.528849518278
"chill_2005-2006" 2006 4 1 0.388076050776714 60.9169255690547
"chill_2005-2006" 2006 4 2 1.00330511843223 61.9202306874869
"chill_2005-2006" 2006 4 3 0.651013558393017 62.5712442458799
"chill_2005-2006" 2006 4 4 0.994289244051836 63.5655334899317
"chill_2005-2006" 2006 4 5 0 63.5655334899317
"chill_2005-2006" 2006 4 6 0.554168385350091 64.1197018752818
"chill_2005-2006" 2006 4 7 0.871968758441999 64.9916706337238
"chill_2005-2006" 2006 4 8 0.686164668329072 65.6778353020529
"chill_2005-2006" 2006 4 9 0.815852881750083 66.493688183803
"chill_2005-2006" 2006 4 10 0.801357337848212 67.2950455216512
"chill_2005-2006" 2006 4 11 1.00750788009883 68.30255340175
"chill_2005-2006" 2006 4 12 0 68.30255340175
"chill_2005-2006" 2006 4 13 0 68.30255340175
"chill_2005-2006" 2006 4 14 0 68.30255340175
"chill_2005-2006" 2006 4 15 0 68.30255340175
"chill_2005-2006" 2006 4 16 0 68.30255340175
"chill_2005-2006" 2006 4 17 0 68.30255340175
"chill_2005-2006" 2006 4 18 0 68.30255340175
"chill_2005-2006" 2006 4 19 0 68.30255340175
"chill_2005-2006" 2006 4 20 0 68.30255340175
"chill_2005-2006" 2006 4 21 0.774593752570463 69.0771471543205
"chill_2005-2006" 2006 4 22 0.89551458951755 69.972661743838
"chill_2005-2006" 2006 4 23 0 69.972661743838
"chill_2005-2006" 2006 4 24 0.493207879454796 70.4658696232928
"chill_2005-2006" 2006 4 25 0 70.4658696232928
"chill_2005-2006" 2006 4 26 1.01372334055757 71.4795929638504
"chill_2005-2006" 2006 4 27 0 71.4795929638504
"chill_2005-2006" 2006 4 28 0 71.4795929638504
"chill_2005-2006" 2006 4 29 0 71.4795929638504
"chill_2005-2006" 2006 4 30 0 71.4795929638504
"chill_2005-2006" 2006 5 1 0 71.4795929638504
"chill_2005-2006" 2006 5 2 0.182565108576195 71.6621580724266
"chill_2005-2006" 2006 5 3 0 71.6621580724266
"chill_2005-2006" 2006 5 4 0 71.6621580724266
"chill_2005-2006" 2006 5 5 0 71.6621580724266
"chill_2005-2006" 2006 5 6 0.0963151286907182 71.7584732011173
"chill_2005-2006" 2006 5 7 0.646075782862344 72.4045489839797
"chill_2005-2006" 2006 5 8 0 72.4045489839797
"chill_2005-2006" 2006 5 9 0 72.4045489839797
"chill_2005-2006" 2006 5 10 0 72.4045489839797
"chill_2005-2006" 2006 5 11 0 72.4045489839797
"chill_2005-2006" 2006 5 12 0 72.4045489839797
"chill_2005-2006" 2006 5 13 0 72.4045489839797
"chill_2005-2006" 2006 5 14 0 72.4045489839797
"chill_2005-2006" 2006 5 15 0 72.4045489839797
"chill_2005-2006" 2006 5 16 0 72.4045489839797
"chill_2005-2006" 2006 5 17 0 72.4045489839797
"chill_2005-2006" 2006 5 18 0 72.4045489839797
"chill_2005-2006" 2006 5 19 0 72.4045489839797
"chill_2005-2006" 2006 5 20 0 72.4045489839797
"chill_2005-2006" 2006 5 21 0 72.4045489839797
"chill_2005-2006" 2006 5 22 0 72.4045489839797
"chill_2005-2006" 2006 5 23 0 72.4045489839797
"chill_2005-2006" 2006 5 24 0 72.4045489839797
